,,,,SG LINK,,,,,,,,,,,,,,
,,,,"Address: 28 Street No. 6, Bay Hien Ward, Ho Chi Minh City, Vietnam",,,,,,,,,,,,,,
,,,,Hotline: 1900 633 027,,,,,,,,,,,,,,
,,,,Website: www.sglink.vn,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
UPS SAVER,,,,,,,,,,,,,,,,,,
Service Code: USS,,,,,,,,,,,,,,,,,,
Effective from: 13/05/2026,,,,,,,,,,,,,,,,,,
Express Saver Document Rates,,,,,,,,,,,,,,,,,,
Weight (kg),Zone 01,Zone 02,Zone 03,Zone 04,Zone 05,Zone 06,Zone 07,Zone 08,Zone 09,Zone 10,01- Hong Kong,01- Singapore,03- Taiwan,03-Australia,03-New Zealand,05-United States,"6- France, Germany, Italy, Netherlands, United Kingdom","07-Hungary
Poland
Portugal"
0.5,"  777,000 ","  867,000 ","  925,000 ","  927,000 ","  1,200,000 ","  1,097,000 ","  1,310,000 ","  1,674,000 ","  1,982,000 ","  727,000 ","  730,000 ","  730,000 ","  925,000 ","  1,135,000 ","  1,135,000 ","  1,231,000 ","  1,097,000 ","  1,310,000 "
1.0,"  862,000 ","  957,000 ","  935,000 ","  937,000 ","  1,396,000 ","  1,327,000 ","  1,612,000 ","  2,041,000 ","  2,404,000 ","  734,000 ","  738,000 ","  738,000 ","  935,000 ","  1,339,000 ","  1,339,000 ","  1,506,000 ","  1,327,000 ","  1,612,000 "
1.5,"  956,000 ","  1,065,000 ","  955,000 ","  958,000 ","  1,636,000 ","  1,558,000 ","  1,927,000 ","  2,421,000 ","  2,830,000 ","  752,000 ","  756,000 ","  756,000 ","  955,000 ","  1,545,000 ","  1,545,000 ","  1,776,000 ","  1,558,000 ","  1,927,000 "
2.0,"  1,059,000 ","  1,158,000 ","  984,000 ","  963,000 ","  1,954,000 ","  1,786,000 ","  2,222,000 ","  2,768,000 ","  3,242,000 ","  761,000 ","  764,000 ","  764,000 ","  955,000 ","  1,763,000 ","  1,763,000 ","  2,053,000 ","  1,786,000 ","  2,222,000 "
Express Saver Package Rates,,,,,,,,,,,,,,,,,,
Weight (kg),Zone 01,Zone 02,Zone 03,Zone 04,Zone 05,Zone 06,Zone 07,Zone 08,Zone 09,Zone 10,01- Hong Kong,01- Singapore,03- Taiwan,03-Australia,03-New Zealand,05-United States,"6- France, Germany, Italy, Netherlands, United Kingdom","07-Hungary
Poland
Portugal"
0.5,"  795,000 ","  897,000 ","  890,000 ","  892,000 ","  1,194,000 ","  1,145,000 ","  1,341,000 ","  1,643,000 ","  1,965,000 ","  702,000 ","  701,000 ","  701,000 ","  890,000 ","  1,253,000 ","  1,253,000 ","  1,225,000 ","  1,145,000 ","  1,341,000 "
1.0,"  881,000 ","  989,000 ","  899,000 ","  902,000 ","  1,430,000 ","  1,386,000 ","  1,633,000 ","  2,002,000 ","  2,408,000 ","  710,000 ","  709,000 ","  709,000 ","  899,000 ","  1,446,000 ","  1,446,000 ","  1,468,000 ","  1,386,000 ","  1,633,000 "
1.5,"  977,000 ","  1,088,000 ","  921,000 ","  899,000 ","  1,674,000 ","  1,643,000 ","  1,932,000 ","  2,376,000 ","  2,864,000 ","  727,000 ","  715,000 ","  715,000 ","  919,000 ","  1,649,000 ","  1,649,000 ","  1,720,000 ","  1,643,000 ","  1,932,000 "
