,,,SG LINK,,,,,,,,,,
,,,"Address: 28 No.6 Street, Bay Hien Ward, Ho Chi Minh City, Vietnam",,,,,,,,,,
,,,Hotline: 1900 633 027,,,,,,,,,,
,,,Website: www.sglink.vn,,,,,,,,,,
,,,,,,,,,,,,,
,YUN COSMETICS,,,,,,,,,,,,
Service Code: YEC,,,,,,,,,,,,,
Effective from: 02/03/2026,,,,,,,,,,,,,
,"Weight
(kg)",United States,United Kindgom,France,Germany,Italy,Spain,Netherlands,Belgium, Ireland,Sweden,Switzerland,Austria
,0.10,"  320,000 ","  190,000 ","  232,000 ","  212,000 ","  242,000 ","  208,000 ","  243,000 ","  240,000 ","  244,000 ","  197,000 ","  333,000 ","  234,000 "
,0.20,"  368,000 ","  213,000 ","  268,000 ","  240,000 ","  279,000 ","  242,000 ","  281,000 ","  283,000 ","  287,000 ","  227,000 ","  368,000 ","  267,000 "
,0.30,"  374,000 ","  237,000 ","  304,000 ","  268,000 ","  316,000 ","  275,000 ","  319,000 ","  326,000 ","  331,000 ","  258,000 ","  404,000 ","  300,000 "
,0.40,"  420,000 ","  261,000 ","  339,000 ","  305,000 ","  353,000 ","  309,000 ","  357,000 ","  369,000 ","  374,000 ","  319,000 ","  439,000 ","  333,000 "
,0.50,"  454,000 ","  285,000 ","  375,000 ","  333,000 ","  390,000 ","  342,000 ","  395,000 ","  412,000 ","  417,000 ","  351,000 ","  474,000 ","  366,000 "
,0.60,"  498,000 ","  309,000 ","  411,000 ","  361,000 ","  427,000 ","  375,000 ","  433,000 ","  456,000 ","  460,000 ","  383,000 ","  509,000 ","  399,000 "
,0.70,"  542,000 ","  332,000 ","  446,000 ","  390,000 ","  464,000 ","  409,000 ","  471,000 ","  499,000 ","  503,000 ","  414,000 ","  545,000 ","  432,000 "
,0.80,"  531,000 ","  356,000 ","  482,000 ","  418,000 ","  502,000 ","  442,000 ","  509,000 ","  542,000 ","  546,000 ","  446,000 ","  580,000 ","  465,000 "
,0.90,"  571,000 ","  380,000 ","  518,000 ","  446,000 ","  539,000 ","  476,000 ","  546,000 ","  585,000 ","  590,000 ","  478,000 ","  615,000 ","  498,000 "
,1.00,"  611,000 ","  404,000 ","  554,000 ","  474,000 ","  576,000 ","  509,000 ","  584,000 ","  628,000 ","  633,000 ","  509,000 ","  650,000 ","  531,000 "
,1.10,"  651,000 ","  427,000 ","  589,000 ","  502,000 ","  613,000 ","  543,000 ","  622,000 ","  672,000 ","  676,000 ","  541,000 ","  686,000 ","  565,000 "
,1.20,"  691,000 ","  451,000 ","  625,000 ","  531,000 ","  650,000 ","  576,000 ","  660,000 ","  715,000 ","  719,000 ","  573,000 ","  721,000 ","  598,000 "
,1.30,"  731,000 ","  475,000 ","  661,000 ","  559,000 ","  687,000 ","  610,000 ","  698,000 ","  758,000 ","  762,000 ","  605,000 ","  756,000 ","  631,000 "
,1.40,"  771,000 ","  499,000 ","  696,000 ","  587,000 ","  724,000 ","  643,000 ","  736,000 ","  801,000 ","  806,000 ","  636,000 ","  791,000 ","  664,000 "
