,,,,SG LINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Address: 28 No.6 Street, Bay Hien Ward, Ho Chi Minh City, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hotline: 1900 633 027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Website: www.sglink.vn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ECONOMY EPACKET (Service Code: QSM),,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective from: 01/04/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weight
(kg)",USA,Malaysia,Brunei,Indonesia,Philippines,Thailand,Vanuatu,"Hong Kong
Taiwan
India
Macau",China,"Mongolia
Bangladesh","Laos
Cambodia
Myanmar","Kiribati
Tuvalu",Australia,Japan,New Zealand,Germany,Austria,Belgium,Canada,"France
Italy",United Kingdom,"Hungary
Denmark
Poland","Estonia
Kazakhstan
Netherlands","Finland
Ireland
Norway
Switzerland",Ireland,"Gibraltar
Jersey","Argentina
Colombia","Chile
Kuwait",Egypt,"Ecuador
Jordan
Paraguay","Brazil
UAE","Israel
Saudi Arabia",Rest of the world
Zone,,,,,,,,C,CI-1,C1,C1-I,C2,,,,,,,,S,SI,S1,S1-I,S2,S2-I,S3,T,T1,T1-I,T2,T3,T3-I,ROW
0.05,"240,000","101,000","116,000","110,000","127,000","111,000","207,000","161,000","161,000","167,000","167,000","164,000","186,000","152,000","185,000","199,000","251,000","240,000","205,000","232,000","232,000","214,000","214,000","250,000","250,000","214,000","262,000","155,000","155,000","198,000","237,000","237,000","187,000"
0.1,"268,000","107,000","131,000","120,000","134,000","120,000","274,000","188,000","188,000","211,000","211,000","235,000","210,000","175,000","209,000","226,000","281,000","269,000","234,000","255,000","255,000","269,000","269,000","276,000","276,000","247,000","315,000","211,000","211,000","264,000","279,000","279,000","253,000"
0.15,"296,000","117,000","148,000","133,000","141,000","132,000","341,000","216,000","216,000","256,000","256,000","306,000","235,000","200,000","233,000","254,000","311,000","298,000","268,000","279,000","279,000","325,000","325,000","301,000","301,000","282,000","368,000","267,000","267,000","331,000","321,000","321,000","320,000"
0.2,"325,000","127,000","166,000","145,000","157,000","144,000","408,000","244,000","244,000","300,000","300,000","377,000","260,000","225,000","257,000","282,000","342,000","327,000","302,000","303,000","303,000","380,000","380,000","326,000","326,000","345,000","422,000","323,000","323,000","397,000","363,000","363,000","386,000"
0.25,"353,000","138,000","184,000","157,000","172,000","157,000","476,000","279,000","279,000","344,000","344,000","448,000","284,000","250,000","281,000","320,000","372,000","356,000","336,000","326,000","326,000","436,000","436,000","352,000","352,000","408,000","475,000","379,000","379,000","464,000","405,000","405,000","453,000"
0.3,"381,000","148,000","201,000","170,000","187,000","169,000","543,000","317,000","317,000","389,000","389,000","519,000","309,000","275,000","305,000","362,000","416,000","385,000","370,000","350,000","350,000","491,000","491,000","377,000","377,000","471,000","528,000","434,000","434,000","531,000","448,000","448,000","520,000"
0.35,"409,000","158,000","219,000","182,000","202,000","181,000","610,000","355,000","355,000","433,000","433,000","590,000","333,000","300,000","329,000","405,000","467,000","414,000","404,000","373,000","373,000","547,000","547,000","408,000","408,000","534,000","581,000","490,000","490,000","597,000","490,000","490,000","586,000"
0.4,"437,000","168,000","237,000","195,000","218,000","194,000","678,000","394,000","394,000","477,000","477,000","662,000","358,000","326,000","353,000","448,000","519,000","443,000","438,000","401,000","401,000","602,000","602,000","441,000","441,000","597,000","643,000","546,000","546,000","664,000","532,000","532,000","653,000"
0.45,"466,000","179,000","254,000","207,000","233,000","206,000","745,000","432,000","432,000","522,000","522,000","733,000","382,000","351,000","377,000","490,000","570,000","473,000","472,000","431,000","431,000","657,000","657,000","473,000","473,000","660,000","710,000","602,000","602,000","730,000","584,000","584,000","719,000"
0.5,"494,000","189,000","272,000","219,000","248,000","218,000","812,000","470,000","470,000","566,000","566,000","804,000","407,000","376,000","401,000","533,000","622,000","505,000","506,000","461,000","461,000","713,000","713,000","505,000","505,000","723,000","776,000","658,000","658,000","797,000","639,000","639,000","786,000"
0.6,"550,000","209,000","307,000","244,000","279,000","243,000","947,000","547,000","547,000","655,000","655,000","946,000","456,000","426,000","449,000","618,000","725,000","570,000","574,000","521,000","521,000","824,000","824,000","570,000","570,000","849,000","909,000","769,000","769,000","930,000","749,000","749,000","919,000"
0.7,"607,000","230,000","343,000","269,000","310,000","267,000","1,081,000","623,000","623,000","743,000","743,000","1,088,000","505,000","476,000","498,000","704,000","828,000","635,000","642,000","581,000","581,000","935,000","935,000","635,000","635,000","975,000","1,042,000","881,000","881,000","1,063,000","860,000","860,000","1,052,000"
0.8,"663,000","250,000","378,000","294,000","340,000","292,000","1,216,000","700,000","700,000","832,000","832,000","1,231,000","554,000","527,000","546,000","789,000","931,000","699,000","711,000","641,000","641,000","1,045,000","1,045,000","699,000","699,000","1,102,000","1,175,000","993,000","993,000","1,196,000","970,000","970,000","1,185,000"
0.9,"719,000","271,000","413,000","319,000","371,000","316,000","1,350,000","776,000","776,000","921,000","921,000","1,373,000","603,000","577,000","594,000","874,000","1,034,000","764,000","779,000","701,000","701,000","1,156,000","1,156,000","764,000","764,000","1,228,000","1,308,000","1,104,000","1,104,000","1,330,000","1,080,000","1,080,000","1,319,000"
1,"776,000","291,000","448,000","344,000","402,000","341,000","1,485,000","853,000","853,000","1,009,000","1,009,000","1,515,000","652,000","627,000","642,000","960,000","1,138,000","828,000","847,000","761,000","761,000","1,267,000","1,267,000","828,000","828,000","1,354,000","1,441,000","1,216,000","1,216,000","1,463,000","1,191,000","1,191,000","1,452,000"
1.1,"832,000","312,000","484,000","369,000","432,000","366,000","1,619,000","930,000","930,000","1,098,000","1,098,000","1,657,000","702,000","677,000","690,000","1,045,000","1,241,000","893,000","915,000","821,000","821,000","1,378,000","1,378,000","893,000","893,000","1,480,000","1,574,000","1,328,000","1,328,000","1,596,000","1,301,000","1,301,000","1,585,000"
1.2,"889,000","332,000","519,000","393,000","463,000","390,000","1,754,000","1,006,000","1,006,000","1,187,000","1,187,000","1,800,000","751,000","727,000","738,000","1,130,000","1,344,000","958,000","983,000","881,000","881,000","1,489,000","1,489,000","958,000","958,000","1,606,000","1,707,000","1,439,000","1,439,000","1,729,000","1,411,000","1,411,000","1,718,000"
1.3,"945,000","353,000","554,000","418,000","494,000","415,000","1,888,000","1,083,000","1,083,000","1,275,000","1,275,000","1,942,000","800,000","778,000","787,000","1,216,000","1,447,000","1,022,000","1,051,000","941,000","941,000","1,600,000","1,600,000","1,022,000","1,022,000","1,732,000","1,839,000","1,551,000","1,551,000","1,862,000","1,522,000","1,522,000","1,851,000"
1.4,"1,001,000","373,000","590,000","443,000","524,000","439,000","2,023,000","1,159,000","1,159,000","1,364,000","1,364,000","2,084,000","849,000","828,000","835,000","1,301,000","1,550,000","1,087,000","1,119,000","1,001,000","1,001,000","1,710,000","1,710,000","1,087,000","1,087,000","1,858,000","1,972,000","1,663,000","1,663,000","1,995,000","1,632,000","1,632,000","1,984,000"
1.5,"1,058,000","394,000","625,000","468,000","555,000","464,000","2,158,000","1,236,000","1,236,000","1,453,000","1,453,000","2,226,000","898,000","878,000","883,000","1,387,000","1,653,000","1,152,000","1,187,000","1,061,000","1,061,000","1,821,000","1,821,000","1,152,000","1,152,000","1,985,000","2,105,000","1,774,000","1,774,000","2,129,000","1,742,000","1,742,000","2,118,000"
1.6,"1,114,000","414,000","660,000","493,000","585,000","488,000","2,292,000","1,312,000","1,312,000","1,541,000","1,541,000","2,369,000","947,000","928,000","931,000","1,472,000","1,756,000","1,216,000","1,256,000","1,121,000","1,121,000","1,932,000","1,932,000","1,216,000","1,216,000","2,111,000","2,238,000","1,886,000","1,886,000","2,262,000","1,853,000","1,853,000","2,251,000"
