,,,,,SG LINK,,,,,,,,,,,,,,,,,
,,,,,"Address: 28 Street No. 6, Bay Hien Ward, Ho Chi Minh City, Vietnam",,,,,,,,,,,,,,,,,
,,,,,Hotline: 1900 633 027,,,,,,,,,,,,,,,,,
,,,,,Website: www.sglink.vn,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
FEDEX REGULAR EXPRESS (FSG),,,,,,,,,,,,,,,,,,,,,,
Effective: from 07/05/2026,,,,,,,,,,,,,,,,,,,,,,
"Weight
 (Kg)","Macau SAR, China","Brunei
Cambodia
Laos","USA (Idaho 83200-83999)
USA (Oregon 97000-97999)
USA (Nevada 89000-89899)","USA (Rest of Country)
Canada
Mexico","Hungary
Norway
Denmark
Switzerland","Saudi Arabia
South Africa
United Arab Emirates","Brazil
Peru
Venezuela","Afghanistan
Iraq
Jordan
Lebanon","Congo
Kazakhstan
Nigeria","Guangdong 510000-529999
Fujian 350000-369999","Belgium
Germany
France
Italy",India,Japan,Malaysia,Thailand,Phillipines,Indonesia,Australia,"Hong Kong SAR, China",China (Excluding China South),Taiwan,South Korea
Zone,B,C,D,E,F,G,H1,H2,I,K,M,O,P,Q,R,S,T,U,V,W,X,Z
  0.50 ,"  893,000 ","  1,002,000 ","  914,000 ","  914,000 ","  1,072,000 ","  1,572,000 ","  1,628,000 ","  1,659,000 ","  1,095,000 ","  703,000 ","  1,019,000 ","  975,000 ","  853,000 ","  528,000 ","  569,000 ","  641,000 ","  716,000 ","  747,000 ","  456,000 ","  818,000 ","  539,000 ","  650,000 "
  1.00 ,"  1,109,000 ","  1,304,000 ","  1,022,000 ","  1,022,000 ","  1,282,000 ","  2,193,000 ","  2,132,000 ","  2,163,000 ","  1,298,000 ","  809,000 ","  1,214,000 ","  1,114,000 ","  956,000 ","  659,000 ","  692,000 ","  708,000 ","  783,000 ","  864,000 ","  561,000 ","  893,000 ","  648,000 ","  725,000 "
  1.50 ,"  1,354,000 ","  1,838,000 ","  1,101,000 ","  1,101,000 ","  1,513,000 ","  2,733,000 ","  2,781,000 ","  2,844,000 ","  1,589,000 ","  993,000 ","  1,413,000 ","  1,454,000 ","  1,033,000 ","  784,000 ","  860,000 ","  873,000 ","  963,000 ","  998,000 ","  655,000 ","  1,151,000 ","  769,000 ","  894,000 "
  2.00 ,"  1,554,000 ","  2,203,000 ","  1,294,000 ","  1,290,000 ","  1,758,000 ","  3,229,000 ","  3,218,000 ","  3,281,000 ","  1,846,000 ","  1,151,000 ","  1,644,000 ","  1,750,000 ","  1,234,000 ","  913,000 ","  1,002,000 ","  1,018,000 ","  1,118,000 ","  1,210,000 ","  773,000 ","  1,390,000 ","  901,000 ","  1,040,000 "
  2.50 ,"  1,757,000 ","  2,452,000 ","  1,502,000 ","  1,489,000 ","  2,037,000 ","  3,769,000 ","  3,672,000 ","  3,766,000 ","  2,147,000 ","  1,311,000 ","  1,908,000 ","  1,956,000 ","  1,437,000 ","  1,040,000 ","  1,147,000 ","  1,164,000 ","  1,274,000 ","  1,365,000 ","  894,000 ","  1,563,000 ","  1,035,000 ","  1,188,000 "
