,,,SG LINK,,,,,,,,,,,,,
,,,"Address: 28 No.6 Street, Bay Hien Ward, Ho Chi Minh City, Vietnam",,,,,,,,,,,,,
,,,Hotline: 1900 633 027,,,,,,,,,,,,,
,,,Website: www.sglink.vn,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,YUN STANDARD,,,,,,,,,,,,,,,
Service Code: YES,,,,,,,,,,,,,,,,
Effective from: 02/03/2026,,,,,,,,,,,,,,,,
,"Weight
(kg)","EU I
(VND)","EU II
(VND)","United Kingdom
(VND)","Canada
(VND)","Australia
(VND)","New Zealand
(VND)","Singapore
(VND)","Hong Kong
(VND)","Japan
(VND)","Mexico
(VND)","Brazil
(VND)","Switzerland
(VND)","Chile
(VND)","United Arab Emirates
（VND）","Saudi Arabia
（VND）"
,0.10,"  167,000 ","  177,000 ","  103,000 ","  193,000 ","176,000","87,000","96,000","  139,000 ","137,000","121,000","  196,000 ","  167,000 ","  214,000 ","  167,000 ","  280,000 "
,0.20,"  201,000 ","  206,000 ","  138,000 ","  236,000 ","204,000","119,000","115,000","  158,000 ","156,000","158,000","  255,000 ","  219,000 ","  275,000 ","  195,000 ","  316,000 "
,0.30,"  222,000 ","  224,000 ","  172,000 ","  280,000 ","232,000","152,000","135,000","  177,000 ","175,000","194,000","  346,000 ","  271,000 ","  336,000 ","  225,000 ","  353,000 "
,0.40,"  254,000 ","  254,000 ","  207,000 ","  324,000 ","259,000","184,000","154,000","  200,000 ","194,000","231,000","  405,000 ","  323,000 ","  397,000 ","  254,000 ","  389,000 "
,0.50,"  286,000 ","  284,000 ","  222,000 ","  367,000 ","287,000","216,000","174,000","  219,000 ","214,000","268,000","  465,000 ","  375,000 ","  458,000 ","  284,000 ","  426,000 "
,0.60,"  317,000 ","  328,000 ","  254,000 ","  410,000 ","344,000","249,000","193,000","  242,000 ","233,000","305,000","  542,000 ","  427,000 ","  564,000 ","  313,000 ","  462,000 "
,0.70,"  349,000 ","  360,000 ","  286,000 ","  454,000 ","372,000","281,000","213,000","  261,000 ","252,000","342,000","  601,000 ","  479,000 ","  632,000 ","  343,000 ","  498,000 "
,0.80,"  383,000 ","  393,000 ","  317,000 ","  497,000 ","399,000","313,000","232,000","  280,000 ","271,000","379,000","  660,000 ","  531,000 ","  701,000 ","  372,000 ","  535,000 "
,0.90,"  414,000 ","  426,000 ","  349,000 ","  541,000 ","427,000","345,000","252,000","  303,000 ","290,000","416,000","  719,000 ","  583,000 ","  769,000 ","  401,000 ","  571,000 "
,1.00,"  444,000 ","  459,000 ","  381,000 ","  584,000 ","455,000","378,000","271,000","  322,000 ","309,000","453,000","  779,000 ","  635,000 ","  837,000 ","  431,000 ","  608,000 "
,1.10,"  490,000 ","  492,000 ","  412,000 ","  628,000 ","519,000","410,000","291,000","  344,000 ","328,000","505,000","  879,000 ","  687,000 ","  906,000 ","  460,000 ","  644,000 "
,1.20,"  520,000 ","  524,000 ","  444,000 ","  671,000 ","546,000","442,000","310,000","  364,000 ","347,000","542,000","  938,000 ","  739,000 ","  974,000 ","  490,000 ","  680,000 "
